result,venue,season,win_percent_diff,draw_percent_before_team2,draw_percent_diff,lose_percent_before_team1,lose_percent_before_team2,head2head_win_percent,head2head_draw_percent,head2head_lost_percent,is_opponent_big6,ELO_before_match_team2,ELO_before_diff,average_score_before_match_team2,average_score_before_match_diff
D,Away,2014-2015,0.0,1.0,-1.0,1.0,0.0,0.75,0.125,0.125,0,1500.0,-31.25,1.0,-1.0
D,Away,2014-2015,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0,1425.1457647966442,41.361661204623715,0.0,0.5
W,Home,2014-2015,-0.3333333333333333,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,1.0,0.0,0.0,0,1452.213076253449,17.256579621983974,1.0,-0.33333333333333337
L,Away,2014-2015,0.0,0.5,0.0,0.25,0.25,0.0,0.0,0.0,0,1493.0411852524014,20.977175664508195,1.25,0.0
W,Home,2014-2015,-0.2,0.2,0.2,0.4,0.4,0.8333333333333334,0.1666666666666666,0.0,0,1504.1343472595952,-25.35458988838218,1.4,-0.3999999999999999
W,Home,2014-2015,0.2,0.4,0.0,0.2,0.4,0.375,0.25,0.375,0,1468.3420814377882,43.96414795788587,1.0,0.6000000000000001
D,Away,2014-2015,0.19999999999999996,0.0,0.2,0.2,0.6,0.625,0.25,0.125,0,1454.4895387157376,85.13331874640267,1.2,0.8
D,Home,2014-2015,-0.20000000000000007,0.2,0.0,0.2,0.0,0.375,0.25,0.375,1,1769.984867100746,-224.35590148407096,2.6,-0.6000000000000001
L,Away,2014-2015,-0.19999999999999996,0.2,0.2,0.2,0.2,0.25,0.125,0.625,1,1639.644948537962,-79.79596490683434,2.0,-0.3999999999999999
W,Home,2014-2015,0.2,0.2,0.2,0.2,0.6,1.0,0.0,0.0,0,1412.5215564234045,109.02379052970173,0.8,0.8
W,Away,2014-2015,0.0,0.2,0.2,0.2,0.4,0.625,0.25,0.125,1,1553.5932091490706,-10.294306954519243,1.4,0.20000000000000018
W,Home,2014-2015,0.4,0.4,0.0,0.2,0.6,1.0,0.0,0.0,0,1435.9992355408522,137.62401885204213,0.4,1.2000000000000002
W,Home,2014-2015,0.39999999999999997,0.2,0.0,0.2,0.6,0.75,0.125,0.125,0,1399.484032247768,201.41214741900512,0.8,1.2
